surname	results	source
Бурьян	74	Wikipedia Russia
Буссен	63	Wikipedia Russia
Бусырев	3	Wikipedia Russia
Бутанаева	9	Wikipedia Russia
Бутвило	142	Wikipedia Russia
Бутц	86	Wikipedia Russia
Бутягин	82	Wikipedia Russia
Буффет	1	Wikipedia Russia
Бухарева	12	Wikipedia Russia
Бухтев	1	Wikipedia Russia
Буц	139	Wikipedia Russia
Буцинский	16	Wikipedia Russia
Буч	168	Wikipedia Russia
Бушмина	58	Wikipedia Russia
Быбин	1	Wikipedia Russia
Бызова	54	Wikipedia Russia
Быкодоров	4	Wikipedia Russia
Былинская	6	Wikipedia Russia
Бытовой	2699	Wikipedia Russia
Быховский	622	Wikipedia Russia
Быченков	33	Wikipedia Russia
Бычинский	9	Wikipedia Russia
Бышев	217	Wikipedia Russia
Бэр	894	Wikipedia Russia
Бялобжеский	7	Wikipedia Russia
Бянки	1	Wikipedia Russia
Вааг	14	Wikipedia Russia
Вабар	3	Wikipedia Russia
Вавулин	3	Wikipedia Russia
Вадецкий	15	Wikipedia Russia
Важник	2	Wikipedia Russia
Важнов	23	Wikipedia Russia
Вайвод	5	Wikipedia Russia
Вакулин	14	Wikipedia Russia
Вакуловская	3	Wikipedia Russia
Вакульская	3	Wikipedia Russia
Валенцев	1	Wikipedia Russia
Валиулин	16	Wikipedia Russia
Валицкая	13	Wikipedia Russia
Валл	953	Wikipedia Russia
Валликиви	1	Wikipedia Russia
Валчик	4	Wikipedia Russia
Вальдман	101	Wikipedia Russia
Ванда	1888	Wikipedia Russia
Вандыш	68	Wikipedia Russia
Ванесян	2	Wikipedia Russia
Ванштейн	11	Wikipedia Russia
Ванюхин	6	Wikipedia Russia
Ванякин	3	Wikipedia Russia
Варюхина	8	Wikipedia Russia
Васевич	4	Wikipedia Russia
Васерман	6	Wikipedia Russia
Васикова	8	Wikipedia Russia
Василиев	12	Wikipedia Russia
Васильевич	27233	Wikipedia Russia
Васильковский	1944	Wikipedia Russia
Васкул	1	Wikipedia Russia
Ватанабе	47	Wikipedia Russia
Вахнина	5	Wikipedia Russia
Вахов	14	Wikipedia Russia
Вахрин	28	Wikipedia Russia
Вачаева	1	Wikipedia Russia
Ващенкова	2	Wikipedia Russia
Ващилов	1	Wikipedia Russia
Ведищева	67	Wikipedia Russia
Веенкер	2	Wikipedia Russia
Вейнгер	6	Wikipedia Russia
Веленгурина	2	Wikipedia Russia
Велижанин	4	Wikipedia Russia
Велижанина	3	Wikipedia Russia
Великоцкий	18	Wikipedia Russia
Велимир	335	Wikipedia Russia
Величкин	113	Wikipedia Russia
Велла	135	Wikipedia Russia
Велли	218	Wikipedia Russia
Вельмина	1	Wikipedia Russia
Вендров	13	Wikipedia Russia
Венстен	1	Wikipedia Russia
Вепров	6	Wikipedia Russia
Вергасова	14	Wikipedia Russia
Веретеников	2	Wikipedia Russia
Верещага	68	Wikipedia Russia
Вержуцкий	1	Wikipedia Russia
Верзилов	17	Wikipedia Russia
Веригина	76	Wikipedia Russia
Веркулич	4	Wikipedia Russia
Верниковская	4	Wikipedia Russia
Верниковский	24	Wikipedia Russia
Вернов	36	Wikipedia Russia
Верховный Совет Российской Федерации	46	Wikipedia Russia
Верховный Совет РСФСР	222	Wikipedia Russia
Верховодова	2	Wikipedia Russia
Верховцева	26	Wikipedia Russia
Верхунов	2	Wikipedia Russia
Вершинская	17	Wikipedia Russia
Веснин	131	Wikipedia Russia
Ветштейн	4	Wikipedia Russia
Вехов	79	Wikipedia Russia
Вибах	23	Wikipedia Russia
Вивчар	7	Wikipedia Russia
Виггинс	32	Wikipedia Russia
Видяпин	14	Wikipedia Russia
Визе	719	Wikipedia Russia
Вийдалепп	2	Wikipedia Russia
Виксне	13	Wikipedia Russia
Вилесов	14	Wikipedia Russia
Вилчинский	1	Wikipedia Russia
Вилькицкий	37	Wikipedia Russia
Вильнер	93	Wikipedia Russia
Вильфанд	6	Wikipedia Russia
Вильчек	208	Wikipedia Russia
Вингун	1	Wikipedia Russia
Винтербергер	4	Wikipedia Russia
Виолович	28	Wikipedia Russia
Вирская	13	Wikipedia Russia
Виртаранта	4	Wikipedia Russia
Вислобокова	3	Wikipedia Russia
Вислых	4	Wikipedia Russia
Вистелиус	1	Wikipedia Russia
Витворт	21	Wikipedia Russia
Витов	27	Wikipedia Russia
Витович	6	Wikipedia Russia
Вихрев	28	Wikipedia Russia
Вихрова	36	Wikipedia Russia
Владышевский	4	Wikipedia Russia
Власков	12	Wikipedia Russia
Вогт	93	Wikipedia Russia
Водоватова	3	Wikipedia Russia
Водолажский	18	Wikipedia Russia
Воевод	855	Wikipedia Russia
Возжинская	2	Wikipedia Russia
Возиянов	2	Wikipedia Russia
Возовик	49	Wikipedia Russia
Войлочников	6	Wikipedia Russia
Войлочникова	1	Wikipedia Russia
Войтковский	14	Wikipedia Russia
Вол	925	Wikipedia Russia
Волковицкий	25	Wikipedia Russia
Волков-Ланнит	4	Wikipedia Russia
Володичев	12	Wikipedia Russia
Володичева	6	Wikipedia Russia
Волокитин	73	Wikipedia Russia
Волохин	66	Wikipedia Russia
Волохов	179	Wikipedia Russia
Волоцких	9	Wikipedia Russia
Волчанская	25	Wikipedia Russia
Волченко	41	Wikipedia Russia
Воробьев-Десятовский	8	Wikipedia Russia
Воронкин	34	Wikipedia Russia
Воропанова	11	Wikipedia Russia
Ворошилов	1174	Wikipedia Russia
Ворошин	13	Wikipedia Russia
Вотах	1	Wikipedia Russia
Вотяков	109	Wikipedia Russia
Всесоюзный арктический институт	8	Wikipedia Russia
Всесоюзный институт научной и технической информации	16	Wikipedia Russia
Вторушина	9	Wikipedia Russia
Втюрин	31	Wikipedia Russia
Втюрина	7	Wikipedia Russia
Вуквукай	1	Wikipedia Russia
Вулих	41	Wikipedia Russia
Вшивцев	39	Wikipedia Russia
Вымятнин	1	Wikipedia Russia
Вышар	1	Wikipedia Russia
Вышнепольский	3	Wikipedia Russia
Вялухин	1	Wikipedia Russia
Вяхирев	58	Wikipedia Russia
Габеев	5	Wikipedia Russia
Габис	7	Wikipedia Russia
Габов	55	Wikipedia Russia
Габриэльсен	26	Wikipedia Russia
Гаврильева	6	Wikipedia Russia
Гавшин	3	Wikipedia Russia
Гаген-Торн	36	Wikipedia Russia
Гаер	21	Wikipedia Russia
Газова	2	Wikipedia Russia
Гайгалас	4	Wikipedia Russia
Гайгеров	1	Wikipedia Russia
Гайдамако	1	Wikipedia Russia
Гайдебурова	49	Wikipedia Russia
Гайнанов	18	Wikipedia Russia
Гайский	123	Wikipedia Russia
Галазий	18	Wikipedia Russia
Галдин	23	Wikipedia Russia
Галдобина	8	Wikipedia Russia
Галеркин	17	Wikipedia Russia
Галеркина	87	Wikipedia Russia
Галимуллин	11	Wikipedia Russia
Гамянин	1	Wikipedia Russia
Ганешин	21	Wikipedia Russia
Ганопольский	14	Wikipedia Russia
Гантимуров	25	Wikipedia Russia
Ганюшкин	14	Wikipedia Russia
Гапанович	49	Wikipedia Russia
Гапеев	44	Wikipedia Russia
Гарагулей	1	Wikipedia Russia
Гарбук	32	Wikipedia Russia
Гаретовский	12	Wikipedia Russia
Гарифулин	8	Wikipedia Russia
Гаркави	82	Wikipedia Russia
Гарманов	3	Wikipedia Russia
Гармонов	3	Wikipedia Russia
Гарутт	4	Wikipedia Russia
Гарькуша	5	Wikipedia Russia
Гаряев	26	Wikipedia Russia
Гасникова	15	Wikipedia Russia
Гашев	18	Wikipedia Russia
Гашилов	22	Wikipedia Russia
Гашилова	3	Wikipedia Russia
Гашина	3	Wikipedia Russia
Гвоздецкие	3	Wikipedia Russia
Гвоздик	262	Wikipedia Russia
Гвоздиков	21	Wikipedia Russia
Гебел	3	Wikipedia Russia
Гебрук	2	Wikipedia Russia
Геворков	8	Wikipedia Russia
Гейнрих	162	Wikipedia Russia
Гелман	4	Wikipedia Russia
Гельфан	1	Wikipedia Russia
Ген	3313	Wikipedia Russia
Гендельман	36	Wikipedia Russia
Гениев	303	Wikipedia Russia
Геннадиник	1	Wikipedia Russia
Геншафт	2	Wikipedia Russia
Географическое общество СССР	42	Wikipedia Russia
Геодекян	1	Wikipedia Russia
Георги	1444	Wikipedia Russia
Георгиади	58	Wikipedia Russia
Гептнер	62	Wikipedia Russia
Герасимовский	53	Wikipedia Russia
Гербачевский	7	Wikipedia Russia
Гербович	7	Wikipedia Russia
Гермогенов	44	Wikipedia Russia
Гернандт	5	Wikipedia Russia
Герт	681	Wikipedia Russia
Гершанович	21	Wikipedia Russia
Гершевич	87	Wikipedia Russia
Геря	19	Wikipedia Russia
Геткер	1	Wikipedia Russia
Гетцен	11	Wikipedia Russia
Гецен	3	Wikipedia Russia
Гзиришвили	5	Wikipedia Russia
Гибсон	2396	Wikipedia Russia
Гигинеишвили	59	Wikipedia Russia
Гидрографическое Управление Главсевморпути	1	Wikipedia Russia
Гизенко	3	Wikipedia Russia
Гилерт	109	Wikipedia Russia
Гиличинский	4	Wikipedia Russia
Гиммельфарб	21	Wikipedia Russia
Гирдюк	1	Wikipedia Russia
Гировка	1	Wikipedia Russia
Гирфанова	9	Wikipedia Russia
Глабина	1	Wikipedia Russia
Главацких	1	Wikipedia Russia
Главное управление научными учреждениями	2	Wikipedia Russia
Гладилов	6	Wikipedia Russia
Глазовская	419	Wikipedia Russia
Глазырина	121	Wikipedia Russia
Глебовский	164	Wikipedia Russia
Глен	4346	Wikipedia Russia
Глинских	95	Wikipedia Russia
Глоба-Михайленко	27	Wikipedia Russia
Гловацки	24	Wikipedia Russia
Глубоков	24	Wikipedia Russia
Глухий	4	Wikipedia Russia
Глушанков	18	Wikipedia Russia
Глушанкова	1	Wikipedia Russia
Глушнев	11	Wikipedia Russia
Гниляк	2	Wikipedia Russia
Гобеджишвили	28	Wikipedia Russia
Гобел	18	Wikipedia Russia
Гобле	153	Wikipedia Russia
Говоркова	31	Wikipedia Russia
Говорова	318	Wikipedia Russia
Говоруха	566	Wikipedia Russia
Гогина	16	Wikipedia Russia
Годес	27	Wikipedia Russia
Гожик	7	Wikipedia Russia
Гойло	84	Wikipedia Russia
Голант	105	Wikipedia Russia
Голанта	56	Wikipedia Russia
Голобокова	4	Wikipedia Russia
Головастов	24	Wikipedia Russia
Головатин	2	Wikipedia Russia
Голодковская	9	Wikipedia Russia
Голынкин	16	Wikipedia Russia
Голынская	16	Wikipedia Russia
Голынский	37	Wikipedia Russia
Гольштейн	3877	Wikipedia Russia
Гомазков	3	Wikipedia Russia
Гомоюнова	4	Wikipedia Russia
Гонионский	33	Wikipedia Russia
Горальчук	1	Wikipedia Russia
Горбацкий	35	Wikipedia Russia
Горбоносова	11	Wikipedia Russia
Гордейчик	17	Wikipedia Russia
Гордейчук	98	Wikipedia Russia
Горкий	2	Wikipedia Russia
Горленко	345	Wikipedia Russia
Горман	329	Wikipedia Russia
Горнштейн	19	Wikipedia Russia
Гортинский	38	Wikipedia Russia
Горчаковский	25	Wikipedia Russia
Горшечников	12	Wikipedia Russia
Горшунов	19	Wikipedia Russia
Горячкин	42	Wikipedia Russia
Госкомстат Республики Коми	1	Wikipedia Russia
Готовцев	78	Wikipedia Russia
Гоцкий	5	Wikipedia Russia
Грабкин	3	Wikipedia Russia
